2023-01-30 11:01:55,591 p=2591811 u=david n=ansible | TASK [add docker repo key] ************************************************************************************************************************************
2023-01-30 11:02:14,334 p=2591811 u=david n=ansible | changed: [rpnode2]
2023-01-30 11:02:14,474 p=2591811 u=david n=ansible | changed: [rpmaster]
2023-01-30 11:02:14,748 p=2591811 u=david n=ansible | changed: [rpnode1]
2023-01-30 11:02:37,617 p=2591811 u=david n=ansible | changed: [rpnode3]
2023-01-30 11:02:39,270 p=2591811 u=david n=ansible | changed: [rpnode4]
2023-01-30 11:02:39,280 p=2591811 u=david n=ansible | TASK [Update the Ubuntu servers] ******************************************************************************************************************************
2023-01-30 11:02:46,068 p=2591811 u=david n=ansible | changed: [rpnode2]
2023-01-30 11:02:46,091 p=2591811 u=david n=ansible | changed: [rpnode1]
2023-01-30 11:02:46,217 p=2591811 u=david n=ansible | changed: [rpmaster]
2023-01-30 11:02:53,516 p=2591811 u=david n=ansible | changed: [rpnode3]
2023-01-30 11:03:00,506 p=2591811 u=david n=ansible | changed: [rpnode4]
2023-01-30 11:03:00,515 p=2591811 u=david n=ansible | TASK [install containerd] *************************************************************************************************************************************
2023-01-30 11:03:31,876 p=2591811 u=david n=ansible | changed: [rpnode2]
2023-01-30 11:03:32,277 p=2591811 u=david n=ansible | changed: [rpmaster]
2023-01-30 11:03:34,099 p=2591811 u=david n=ansible | changed: [rpnode1]
2023-01-30 11:03:59,944 p=2591811 u=david n=ansible | changed: [rpnode3]
2023-01-30 11:04:18,487 p=2591811 u=david n=ansible | changed: [rpnode4]
2023-01-30 11:04:18,496 p=2591811 u=david n=ansible | TASK [configure containerd and start] *************************************************************************************************************************
2023-01-30 11:04:20,956 p=2591811 u=david n=ansible | changed: [rpnode2]
2023-01-30 11:04:20,965 p=2591811 u=david n=ansible | changed: [rpnode1]
2023-01-30 11:04:20,997 p=2591811 u=david n=ansible | changed: [rpmaster]
2023-01-30 11:04:24,060 p=2591811 u=david n=ansible | changed: [rpnode3]
2023-01-30 11:04:26,091 p=2591811 u=david n=ansible | changed: [rpnode4]
2023-01-30 11:04:26,135 p=2591811 u=david n=ansible | PLAY RECAP ****************************************************************************************************************************************************
2023-01-30 11:04:26,136 p=2591811 u=david n=ansible | rpmaster                   : ok=24   changed=21   unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2023-01-30 11:04:26,136 p=2591811 u=david n=ansible | rpnode1                    : ok=24   changed=21   unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2023-01-30 11:04:26,136 p=2591811 u=david n=ansible | rpnode2                    : ok=24   changed=21   unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2023-01-30 11:04:26,136 p=2591811 u=david n=ansible | rpnode3                    : ok=24   changed=21   unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2023-01-30 11:04:26,137 p=2591811 u=david n=ansible | rpnode4                    : ok=24   changed=21   unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2023-01-30 11:13:05,686 p=2595315 u=david n=ansible | PLAY [Kubeadm initialization] *********************************************************************************************************************************
2023-01-30 11:13:05,697 p=2595315 u=david n=ansible | TASK [Gathering Facts] ****************************************************************************************************************************************
2023-01-30 11:13:11,477 p=2595315 u=david n=ansible | ok: [rpmaster]
2023-01-30 11:13:11,522 p=2595315 u=david n=ansible | TASK [Initialize] *********************************************************************************************************************************************
2023-01-30 11:15:05,252 p=2595315 u=david n=ansible | changed: [rpmaster]
2023-01-30 11:15:05,270 p=2595315 u=david n=ansible | PLAY RECAP ****************************************************************************************************************************************************
2023-01-30 11:15:05,271 p=2595315 u=david n=ansible | rpmaster                   : ok=2    changed=1    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2023-01-30 11:31:32,317 p=2596440 u=david n=ansible | PLAY [Join nodes to the Kubernetes cluster] *******************************************************************************************************************
2023-01-30 11:31:32,328 p=2596440 u=david n=ansible | TASK [Gathering Facts] ****************************************************************************************************************************************
2023-01-30 11:31:38,138 p=2596440 u=david n=ansible | ok: [rpnode2]
2023-01-30 11:31:38,140 p=2596440 u=david n=ansible | ok: [rpnode1]
2023-01-30 11:31:43,968 p=2596440 u=david n=ansible | ok: [rpnode3]
2023-01-30 11:31:44,889 p=2596440 u=david n=ansible | ok: [rpnode4]
2023-01-30 11:31:44,925 p=2596440 u=david n=ansible | TASK [Copy join script] ***************************************************************************************************************************************
2023-01-30 11:31:47,409 p=2596440 u=david n=ansible | changed: [rpnode2]
2023-01-30 11:31:47,413 p=2596440 u=david n=ansible | changed: [rpnode1]
2023-01-30 11:31:49,503 p=2596440 u=david n=ansible | changed: [rpnode4]
2023-01-30 11:31:49,561 p=2596440 u=david n=ansible | changed: [rpnode3]
2023-01-30 11:31:49,571 p=2596440 u=david n=ansible | TASK [Run join script] ****************************************************************************************************************************************
2023-01-30 11:32:07,386 p=2596440 u=david n=ansible | changed: [rpnode2]
2023-01-30 11:32:07,849 p=2596440 u=david n=ansible | changed: [rpnode3]
2023-01-30 11:32:07,917 p=2596440 u=david n=ansible | changed: [rpnode1]
2023-01-30 11:32:13,758 p=2596440 u=david n=ansible | changed: [rpnode4]
2023-01-30 11:32:13,796 p=2596440 u=david n=ansible | PLAY RECAP ****************************************************************************************************************************************************
2023-01-30 11:32:13,797 p=2596440 u=david n=ansible | rpnode1                    : ok=3    changed=2    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2023-01-30 11:32:13,797 p=2596440 u=david n=ansible | rpnode2                    : ok=3    changed=2    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
